00-Instance,value,All,runtime,All,num_branches,All,deg1Time,All,domTime,All,fold2Time,All,lpTime,All,twinTime,All,deskTime,All,unconfinedTime,All,funnelTime,All,packingTime,All,deg1Counts,All,domCounts,All,fold2Counts,All,lpCounts,All,twinCounts,All,deskCounts,All,diamondCounts,All,unconfinedCounts,All,funnelCounts,All,packingCounts,All,deg1Calls,All,domCalls,All,fold2Calls,All,lpCalls,All,twinCalls,All,deskCalls,All,unconfinedCalls,All,funnelCalls,All,packingCalls,All,deg1AllCalls,All,domAllCalls,All,fold2AllCalls,All,lpAllCalls,All,twinAllCalls,All,deskAllCalls,All,unconfinedAllCalls,All,funnelAllCalls,All,packingAllCalls,All,trivialCount,All,cliqueCount,All,lpCount,All,cycleCount,All,cliqueTime,All,cycleTime,All,num_leftcuts,All,root_lb,All,Options,All
1et_64_small,,24,,0.007,,1,,0.052,,0.185,,0.112,,0.027,,0.036,,0.385,,0.092,,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,0,,0,,1,,1,,0,,0,,5,,2,,5,,1,,4,,4,,2,,1,,0,,,,,,0,,,,,,,,0,,24,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
3Regular,,4,,0.002,,1,,0.005,,0.000,,0.002,,0.009,,0.010,,0.365,,0.001,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,1,,0,,0,,0,,2,,0,,2,,1,,2,,2,,1,,1,,0,,,,,,0,,,,,,,,0,,4,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
45_example,,29,,0.002,,1,,0.060,,0.087,,0.024,,0.019,,0.012,,0.010,,0.086,,0.002,,0.000,,,,,,,,,,,,,,,,,,,,,,3,,0,,2,,0,,0,,0,,1,,0,,0,,4,,1,,4,,1,,2,,2,,2,,1,,0,,,,,,0,,,,,,,,0,,29,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
5cycle,,3,,0.002,,1,,0.008,,0.000,,0.395,,0.008,,0.001,,0.001,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,,0,,0,,0,,0,,0,,0,,2,,0,,2,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,3,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
component-test,,8,,0.002,,1,,0.023,,0.006,,0.309,,0.009,,0.007,,0.012,,0.001,,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,0,,0,,0,,0,,0,,0,,3,,1,,3,,1,,2,,2,,1,,1,,0,,,,,,0,,,,,,,,0,,8,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
connected_comp,,4,,0.002,,1,,0.015,,0.000,,0.018,,0.009,,0.001,,0.001,,0.001,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,1,,0,,0,,0,,0,,0,,0,,2,,0,,2,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,4,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
desk,,4,,0.002,,1,,0.020,,0.000,,0.001,,0.008,,0.001,,0.001,,0.000,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,4,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
funnel,,5,,0.002,,1,,0.011,,0.000,,0.369,,0.008,,0.008,,0.104,,0.001,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,,0,,0,,1,,0,,0,,0,,3,,0,,3,,1,,2,,2,,1,,1,,0,,,,,,0,,,,,,,,0,,5,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
geo_20_48,,14,,0.002,,1,,0.031,,0.044,,0.339,,0.013,,0.006,,0.007,,0.001,,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,2,,1,,2,,0,,0,,0,,0,,0,,0,,4,,1,,4,,1,,2,,2,,1,,1,,0,,,,,,0,,,,,,,,0,,14,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
hexagon_with_tails,,4,,0.002,,1,,0.037,,0.000,,0.001,,0.013,,0.002,,0.002,,0.001,,0.001,,0.000,,,,,,,,,,,,,,,,,,,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,0,,,,,,0,,,,,,,,0,,4,,:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
